city,city_ascii,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Los Angeles,Los Angeles,CA,California,06037,Los Angeles,6037,Los Angeles,34.1139,-118.4068,12815475,3295,polygon,FALSE,TRUE,America/Los_Angeles,1,90291 90293 90292 91316 91311 90037 90031 90008 90004 90005 90006 90007 90001 90002 90003 90710 90089 91344 91345 91340 91342 91343 90035 90034 90036 90033 90032 90039 90247 90248 91436 91371 91605 91604 91607 91601 91602 90402 90068 90069 90062 90063 90061 90066 90067 90064 90065 91326 91324 91325 90013 90012 90011 90010 90017 90016 90015 90014 90019 90090 90095 90094 91042 91040 91411 91352 91356 90041 90042 90043 90044 90045 90046 90047 90048 90049 90018 91423 90210 91303 91304 91306 91307 90079 90071 90077 90059 91608 91606 91331 91330 91335 90026 90027 90024 90025 90023 90020 90021 90028 90029 90272 90732 90731 90230 91406 91405 91403 91402 91401 91367 91364 90038 90057 90058 90744 90501 90502 90009 90030 90050 90051 90053 90054 90055 90060 90070 90072 90074 90075 90076 90078 90080 90081 90082 90083 90084 90086 90087 90088 90093 90099 90134 90189 90213 90294 90295 90296 90733 90734 90748 91041 91043 91305 91308 91309 91313 91327 91328 91329 91333 91334 91337 91346 91353 91357 91365 91392 91393 91394 91395 91396 91404 91407 91408 91409 91410 91412 91413 91416 91426 91470 91482 91495 91496 91499 91603 91609 91610 91611 91612 91614 91615 91616 91617 91618,1840107920
Glendale,Glendale,CA,California,06037,Los Angeles,6037,Los Angeles,34.1818,-118.2468,203054,2572,polygon,FALSE,TRUE,America/Los_Angeles,2,91210 91214 91046 91201 91204 91208 91203 91202 91205 91207 91206 91020 91209 91221 91222 91225 91226,1840107446
Hidden Hills,Hidden Hills,CA,California,06037,Los Angeles,6037,Los Angeles,34.1637,-118.6612,1921,439,polygon,FALSE,TRUE,America/Los_Angeles,3,91302,1840107482
View Park-Windsor Hills,View Park-Windsor Hills,CA,California,06037,Los Angeles,6037,Los Angeles,33.9955,-118.3484,11308,2371,polygon,FALSE,TRUE,America/Los_Angeles,2,90008 90043 90056,1840113353
East San Gabriel,East San Gabriel,CA,California,06037,Los Angeles,6037,Los Angeles,34.1198,-118.0807,15832,3914,polygon,FALSE,FALSE,America/Los_Angeles,2,91775,1840112078
Monrovia,Monrovia,CA,California,06037,Los Angeles,6037,Los Angeles,34.165,-117.9921,37061,1048,polygon,FALSE,TRUE,America/Los_Angeles,3,91016 91017 91185,1840107619
Diamond Bar,Diamond Bar,CA,California,06037,Los Angeles,6037,Los Angeles,33.9991,-117.8161,56665,1471,polygon,FALSE,TRUE,America/Los_Angeles,3,91789 91765,1840107392
Hawaiian Gardens,Hawaiian Gardens,CA,California,06037,Los Angeles,6037,Los Angeles,33.8303,-118.0728,14450,5884,polygon,FALSE,TRUE,America/Los_Angeles,2,90716,1840105711
Alondra Park,Alondra Park,CA,California,06037,Los Angeles,6037,Los Angeles,33.8885,-118.335,7441,2596,polygon,FALSE,FALSE,America/Los_Angeles,2,90249 90260 90506,1840111782
Temple City,Temple City,CA,California,06037,Los Angeles,6037,Los Angeles,34.1022,-118.0579,36367,3506,polygon,FALSE,TRUE,America/Los_Angeles,2,91780,1840106193
Maywood,Maywood,CA,California,06037,Los Angeles,6037,Los Angeles,33.9885,-118.1877,27586,9038,polygon,FALSE,TRUE,America/Los_Angeles,2,90270,1840107597
Rancho Palos Verdes,Rancho Palos Verdes,CA,California,06037,Los Angeles,6037,Los Angeles,33.7554,-118.3637,42364,1214,polygon,FALSE,TRUE,America/Los_Angeles,3,90275,1840011204
Gardena,Gardena,CA,California,06037,Los Angeles,6037,Los Angeles,33.8944,-118.3073,60224,3989,polygon,FALSE,TRUE,America/Los_Angeles,2,90247 90249,1840107437
